Lexema,Tipo de Token,Linha do Elemento
code_samples,Identificador,1
java.util.Scanner,Identificador,3
code,Identificador,6
main,Identificador,7
String[],Identificador,7
args,Identificador,7
Scanner,Identificador,8
scanner,Identificador,8
Scanner,Identificador,8
System.in,Identificador,8
System.out.println,Identificador,10
numero1,Identificador,11
scanner.nextDouble,Identificador,11
System.out.println,Identificador,13
numero2,Identificador,14
scanner.nextDouble,Identificador,14
System.out.println,Identificador,16
numero3,Identificador,17
scanner.nextDouble,Identificador,17
media,Identificador,19
calcularMedia,Identificador,19
numero1,Identificador,19
numero2,Identificador,19
numero3,Identificador,19
System.out.println,Identificador,20
media,Identificador,20
scanner.close,Identificador,22
calcularMedia,Identificador,25
num1,Identificador,25
num2,Identificador,25
num3,Identificador,25
num1,Identificador,26
num2,Identificador,26
num3,Identificador,26
